month,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#date+month,#event+id,,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
2019-05,5920637,275,PSE5566,5566,2019-05-05,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,Civilians (Palestine),Aid Workers (Palestine),7,78,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5000,34.4667,1,Jordan News Agency; Ma'an News Agency; ReliefWeb,Other-National,"On May 5 2019, a Palestinian was killed when Israeli warplanes struck a civilian car in the Sidra neighbourhood in Gaza. It is unclear why the vehicle was targeted. Seven residential buildings, a mosque, several schools and four family homes were also destroyed by airstrikes in the city. Israeli warplanes struck an eight-story commercial building that contained the office of Yardimeli, a Turkish aid organisation in central Gaza with several missiles. According to the twitter account of Yardimeli, 5 Palestinians were killed in the attack. Israeli forces have struck 350 Hamas/PIJ targets since the beginning of the flare-up, of which 153 were air strikes and 104 were shelling attacks.",6,1567465430,PSE
2019-05,5749472,887,YEM31180,31180,2019-05-05,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,National Resistance Forces,,3,,,0,30,Middle East,Yemen,Al Hudaydah,Al Hali,,Al Hudaydah-Engineering College,14.8050,42.9960,1,Al Masirah,National,"On May 5, anti-Houthi forces reportedly fired medium machine guns at the Engineering College in the north of Hodeidah Red Sea port city, western Yemen, with no report of fatalities nor injuries.",0,1567462134,YEM
2019-05,5179189,356,IND53198,53198,2019-05-05,2019,1,Riots,Mob violence,Rioters (India),,5,Civilians (India),,7,57,Southern Asia,India,Jammu and Kashmir,Shopian,Shopian,Kellar,33.7808,74.7919,2,Kashmir Observer,Subnational,"On 5 May, unknown persons set a middle school alight at Tumpora village in the Keller area (Shopian, J&K) amid rioting on the eve of elections in Shopian district. [size=no report]",0,1557838714,IND
2019-05,5179245,356,IND53201,53201,2019-05-05,2019,1,Riots,Mob violence,Rioters (India),,5,Civilians (India),,7,57,Southern Asia,India,Jammu and Kashmir,Pulwama,Pulwama,Qasba Yar,33.8067,74.8141,1,Kashmir Observer,Subnational,"On 5 May, unknown persons set a government high school alight at Qasba Yar village (Pulwama, J&K) amid rioting on the eve of elections in Pulwama district. [size=no report]",0,1557838714,IND
2019-05,5179576,356,IND53224,53224,2019-05-05,2019,1,Violence against civilians,Attack,Unidentified Armed Group (India),,3,Civilians (India),,7,37,Southern Asia,India,Manipur,Imphal East,Sawombung,Lamlai,24.8670,94.0755,1,Imphal Free Press,Subnational,"On May 5, unidentified people shot at a school van and vandalised it in Lamlai Mayai Leikai village (Imphal East, Manipur). The reason behind the attack is unknown.",0,1557838714,IND
2019-05,6046500,760,SYR60312,60312,2019-05-05,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,Military Forces of Russia (2000-),1,Civilians (Syria),Health Workers (Syria),7,17,Middle East,Syria,Idleb,Al Ma'ra,Kafr Nobol,Termala,35.5244,36.4823,1,Liveuamap; SOHR; SNHR,Local partner-Other,"On 5 May 2019, Russian and regime warplanes carried out raids on the town of Termala while regime helicopters dropped barrel bombs which killed 6 civilians. The airstrikes impacted near a hospital and a primary school, partially destroying their buildings and partially damaging their furniture.",6,1571164400,SYR
2019-05,6046501,760,SYR60313,60313,2019-05-05,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-) Syrian Arab Air Force,Military Forces of Russia (2000-),1,Civilians (Syria),,7,17,Middle East,Syria,Idleb,Ariha,Ehsem,Deir Sunbul,35.6993,36.6055,1,SNHR; Liveuamap; SOHR,Local partner-Other,"On 5 May 2019, Russian warplanes carried out raids on the town of Deir Sunbul in Idleb province while regime helicopters dropped barrel bombs which impacted near a school, partially destroying its building and damaging its furniture. As a result, 1 woman was killed.",1,1571164400,SYR
2019-05,5553848,376,ISR1133,1133,2019-05-04,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,PIJ: Palestinian Islamic Jihad,Hamas Movement,3,Civilians (Israel),,7,37,Middle East,Israel,HaDarom,Beer Sheva,,Beersheba,31.2520,34.7910,1,Arutz Sheva,National,"On May 4 2019, over 200 rockets were fired by the PIJ/Hamas from Gaza into Israel. Dozens were intercepted by the Iron Dome. A rocket hit a High School in the city of Beer Sheva. No injuries were reported.",0,1563229629,ISR
2019-05,5565207,376,ISR1129,1129,2019-05-04,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,PIJ: Palestinian Islamic Jihad,Hamas Movement,3,Civilians (Israel),,7,37,Middle East,Israel,HaDarom,Ashqelon,,Kiryat Gat,31.6100,34.7640,1,Arutz Sheva; AFP,National-International,"On May 4 2019, over 200 rockets were fired by the PIJ/Hamas from Gaza into Israel. Dozens were intercepted by the Iron Dome. At least three rockets fell in the city of Kiryat Gat, and critically wounded an Israeli woman. A home as well as a school were also hit by rockets in Kiryat Gat.",0,1563305273,ISR
2019-05,5365394,275,PSE5551,5551,2019-05-04,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,Private Security Forces (Palestine),,8,88,Middle East,Palestine,Gaza Strip,North Gaza,,Bayt Lahya,31.5464,34.4951,1,ReliefWeb,Other,"On May 4 2019, Israeli warplanes fired a missile at a group of people near the American International School in Beit Lahia, and killed a security guard. Israeli forces have struck 350 Hamas/PIJ targets since the beginning of the flare-up, of which 153 were air strikes and 104 were shelling attacks.",1,1561470071,PSE
