data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#event+id,#country+code,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
5932738,144,SRI3680,3680,2019-08-28,2019,2,Protests,Protest with intervention,Protesters (Sri Lanka),IUSF: Inter University Students' Federation; Students (Sri Lanka),6,Police Forces of Sri Lanka (2015-),,1,16,Southern Asia,Sri Lanka,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Ada Derana,National,"As reported on August 28, police used tear gas and water cannons to disperse a protest staged by the Inter University Students Federation (IUSF) in Lotus road of Colombo City (Colombo, Colombo district). The protest was organized against attempts to pass the Quality Assurance and Accreditation Council (QAAC) Act in the parliament, which the protesters claim would nullify the role of the Sri Lanka Medical Council (SLMC). [size=no report]",0,1567533975,LKA
5963521,356,IND61334,61334,2019-08-28,2019,1,Riots,Mob violence,Rioters (India),Students (India),5,Civilians (India),Students (India),7,57,Southern Asia,India,Uttar Pradesh,Gautam Buddha Nagar,Dadri,Noida,28.4961,77.5360,1,The Hindu,National,"On 28 Aug, a group of around 25 students assaulted two students at Amity University in Noida city (UP), over a parking dispute. [size=around 25]",0,1568132614,IND
5892779,12,ALG7063,7063,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Algeria),Students (Algeria),6,,,0,60,Northern Africa,Algeria,Alger,Sidi M'Hamed,,Algiers,36.7525,3.0420,1,Maghreb Emergent; Le Soir d'Algerie; Algeria Press Service; El Watan (Algeria),National-Regional,"On 27 August, 2019, students held their 27th consecutive anti-regime university demonstrations in Algiers [size= no report].",0,1567462420,DZA
5727209,12,ALG7064,7064,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Algeria),Students (Algeria),6,,,0,60,Northern Africa,Algeria,Constantine,Constantine,,Constantine,36.3650,6.6147,1,El Watan (Algeria),National,"On 27 August, 2019, students held their 27th consecutive anti-regime university demonstrations in Constantine [size= no report].",0,1567450156,DZA
5727210,12,ALG7065,7065,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Algeria),Students (Algeria),6,,,0,60,Northern Africa,Algeria,Oran,Oran,,Oran,35.6911,-0.6417,1,El Watan (Algeria); Le Soir d'Algerie,National,"On 27 August, 2019, students held their 27th consecutive anti-regime university demonstrations in Oran [size= no report].",0,1567450156,DZA
5727211,12,ALG7066,7066,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Algeria),Students (Algeria),6,,,0,60,Northern Africa,Algeria,Annaba,Annaba,,Annaba,36.9000,7.7667,1,El Watan (Algeria); Le Soir d'Algerie,National,"On 27 August, 2019, students held their 27th consecutive anti-regime university demonstrations in Annaba [size= no report].",0,1567450156,DZA
5727212,12,ALG7067,7067,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Algeria),Students (Algeria),6,,,0,60,Northern Africa,Algeria,Bejaia,Bejaia,,Bejaia,36.7500,5.0833,1,Le Soir d'Algerie,National,"On 27 August, 2019, students held their 27th consecutive anti-regime university demonstrations in Bejaia [size= no report].",0,1567450156,DZA
5727340,748,SWA212,212,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (eSwatini),Students (eSwatini),6,,,0,60,Southern Africa,eSwatini,Manzini,Kwaluseni,,Kwaluseni,-26.4833,31.3333,1,Swaziland Media Commentary,National,27 August. Ongoing student demonstrations across three campuses at the University of eSwatini have been reported. The students are demanding scholarships. [size=no report].,0,1567450156,SWZ
5727595,729,SUD13117,13117,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan),6,,,0,60,Northern Africa,Sudan,Khartoum,Khartoum North,,Shambat,15.6681,32.5336,1,Radio Dabanga,National,"On August 27th, students of the Shambat campus of the University of Khartoum demonstrated against the indefinite suspension of classes announced by the University. [size=no report]",0,1567450156,SDN
5727597,729,SUD13119,13119,2019-08-27,2019,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan),6,,,0,60,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,Radio Dabanga,National,"On August 27th, students demonstrated at El Razi University in Khartoum, following the suspension of three students, and calling for Bashir-era University directors to be replaced. Students also demonstrated at Wadi El Nil University, calling for the director to be replaced. [size=no report]",0,1567450156,SDN
